Combinacion,Accuracy,Precision,Recall,F_score
alpha:0.59,0.8059,0.5917,0.6124,0.5831
alpha:0.6,0.8059,0.5917,0.6124,0.5831
alpha:0.61,0.8059,0.5917,0.6124,0.5831
alpha:0.62,0.8059,0.5917,0.6124,0.5831
alpha:0.63,0.8059,0.5917,0.6124,0.5831
alpha:0.64,0.8072,0.6007,0.6212,0.5933
alpha:0.65,0.8072,0.6007,0.6212,0.5933
alpha:0.66,0.8072,0.6007,0.6212,0.5933
alpha:0.67,0.8032,0.5887,0.6194,0.5890
alpha:0.68,0.8032,0.5887,0.6194,0.5890
alpha:0.69,0.8032,0.5887,0.6194,0.5890
alpha:0.7,0.8032,0.5887,0.6194,0.5890
alpha:0.71,0.8032,0.5887,0.6194,0.5890
alpha:0.72,0.8032,0.5887,0.6194,0.5890
alpha:0.73,0.8032,0.5861,0.6194,0.5885
alpha:0.74,0.8032,0.5861,0.6194,0.5885
alpha:0.75,0.8032,0.5861,0.6194,0.5885
alpha:0.76,0.8032,0.5861,0.6194,0.5885
alpha:0.77,0.8005,0.5796,0.6167,0.5851
alpha:0.78,0.8005,0.5796,0.6167,0.5851
alpha:0.79,0.8005,0.5796,0.6167,0.5851
alpha:0.8,0.8005,0.5796,0.6167,0.5851
alpha:0.81,0.7992,0.5769,0.6161,0.5838
alpha:0.82,0.7992,0.5769,0.6161,0.5838
alpha:0.83,0.7992,0.5769,0.6161,0.5838
alpha:0.84,0.7992,0.5769,0.6161,0.5838
alpha:0.85,0.7979,0.5744,0.6155,0.5826
alpha:0.86,0.7979,0.5744,0.6155,0.5826
alpha:0.87,0.7979,0.5744,0.6155,0.5826
alpha:0.88,0.7979,0.5744,0.6155,0.5826
alpha:0.89,0.7979,0.5744,0.6155,0.5826
alpha:0.9,0.7992,0.5840,0.6242,0.5921
alpha:0.91,0.7979,0.5814,0.6236,0.5907
alpha:0.92,0.7979,0.5814,0.6236,0.5907
alpha:0.93,0.7979,0.5814,0.6236,0.5907
alpha:0.94,0.7979,0.5814,0.6236,0.5907
alpha:0.95,0.7979,0.5814,0.6236,0.5907
alpha:0.96,0.7979,0.5814,0.6236,0.5907
alpha:0.97,0.7979,0.5814,0.6236,0.5907
alpha:0.98,0.7979,0.5814,0.6236,0.5907
alpha:0.99,0.7979,0.5814,0.6236,0.5907
alpha:1.0,0.7979,0.5799,0.6236,0.5903
