Combinacion,Accuracy,Precision,Recall,F_score
alpha:0.6,0.8112,0.5974,0.6266,0.6011
alpha:0.61,0.8112,0.5974,0.6266,0.6011
alpha:0.62,0.8112,0.5974,0.6266,0.6011
alpha:0.63,0.8112,0.5974,0.6266,0.6011
alpha:0.64,0.8112,0.5974,0.6266,0.6011
alpha:0.65,0.8112,0.5974,0.6266,0.6011
alpha:0.66,0.8112,0.5974,0.6266,0.6011
alpha:0.67,0.8112,0.5974,0.6266,0.6011
alpha:0.68,0.8112,0.5974,0.6266,0.6011
alpha:0.69,0.8112,0.5974,0.6266,0.6011
alpha:0.7,0.8112,0.5974,0.6266,0.6011
alpha:0.71,0.8112,0.5974,0.6266,0.6011
alpha:0.72,0.8112,0.5951,0.6266,0.6006
alpha:0.73,0.8112,0.5951,0.6266,0.6006
alpha:0.74,0.8112,0.5951,0.6266,0.6006
alpha:0.75,0.8125,0.6047,0.6353,0.6102
alpha:0.76,0.8125,0.6047,0.6353,0.6102
alpha:0.77,0.8125,0.6047,0.6353,0.6102
alpha:0.78,0.8125,0.6047,0.6353,0.6102
alpha:0.79,0.8125,0.6047,0.6353,0.6102
alpha:0.8,0.8125,0.6047,0.6353,0.6102
alpha:0.81,0.8125,0.6047,0.6353,0.6102
alpha:0.82,0.8125,0.6047,0.6353,0.6102
alpha:0.83,0.8125,0.6047,0.6353,0.6102
alpha:0.84,0.8125,0.6047,0.6353,0.6102
alpha:0.85,0.8125,0.6047,0.6353,0.6102
alpha:0.86,0.8125,0.6047,0.6353,0.6102
alpha:0.87,0.8125,0.6047,0.6353,0.6102
alpha:0.88,0.8125,0.6047,0.6353,0.6102
alpha:0.89,0.8112,0.6010,0.6332,0.6079
alpha:0.9,0.8112,0.6010,0.6332,0.6079
alpha:0.91,0.8112,0.6010,0.6332,0.6079
alpha:0.92,0.8112,0.6010,0.6332,0.6079
alpha:0.93,0.8112,0.6010,0.6332,0.6079
alpha:0.94,0.8112,0.6010,0.6332,0.6079
alpha:0.95,0.8112,0.6010,0.6332,0.6079
alpha:0.96,0.8112,0.6010,0.6332,0.6079
alpha:0.97,0.8112,0.6010,0.6332,0.6079
alpha:0.98,0.8098,0.5981,0.6326,0.6064
alpha:0.99,0.8098,0.5981,0.6326,0.6064
alpha:1.0,0.8098,0.5981,0.6326,0.6064
