Combinacion,Accuracy,Precision,Recall,F_score
alpha:0.49,0.7926,0.5631,0.5917,0.5722
alpha:0.5,0.7926,0.5631,0.5917,0.5722
alpha:0.51,0.7926,0.5631,0.5917,0.5722
alpha:0.52,0.7926,0.5631,0.5917,0.5722
alpha:0.53,0.7926,0.5631,0.5917,0.5722
alpha:0.54,0.7926,0.5631,0.5917,0.5722
alpha:0.55,0.7939,0.5651,0.5923,0.5734
alpha:0.56,0.7939,0.5651,0.5923,0.5734
alpha:0.57,0.7939,0.5651,0.5923,0.5734
alpha:0.58,0.7939,0.5651,0.5923,0.5734
alpha:0.59,0.7939,0.5651,0.5923,0.5734
alpha:0.6,0.7952,0.5673,0.5929,0.5746
alpha:0.61,0.7952,0.5673,0.5929,0.5746
alpha:0.62,0.7952,0.5661,0.5929,0.5743
alpha:0.63,0.7952,0.5661,0.5929,0.5743
alpha:0.64,0.7952,0.5661,0.5929,0.5743
alpha:0.65,0.7952,0.5661,0.5929,0.5743
alpha:0.66,0.7952,0.5661,0.5929,0.5743
alpha:0.67,0.7952,0.5661,0.5929,0.5743
alpha:0.68,0.7952,0.5661,0.5929,0.5743
alpha:0.69,0.7952,0.5661,0.5929,0.5743
alpha:0.7,0.7952,0.5661,0.5929,0.5743
alpha:0.71,0.7952,0.5661,0.5929,0.5743
alpha:0.72,0.7952,0.5661,0.5929,0.5743
alpha:0.73,0.7952,0.5661,0.5929,0.5743
alpha:0.74,0.7952,0.5661,0.5929,0.5743
alpha:0.75,0.7952,0.5661,0.5929,0.5743
alpha:0.76,0.7952,0.5661,0.5929,0.5743
alpha:0.77,0.7952,0.5661,0.5929,0.5743
alpha:0.78,0.7952,0.5661,0.5929,0.5743
alpha:0.79,0.7952,0.5661,0.5929,0.5743
alpha:0.8,0.7952,0.5661,0.5929,0.5743
alpha:0.81,0.7952,0.5661,0.5929,0.5743
alpha:0.82,0.7952,0.5661,0.5929,0.5743
alpha:0.83,0.7952,0.5661,0.5929,0.5743
alpha:0.84,0.7952,0.5661,0.5929,0.5743
alpha:0.85,0.7939,0.5641,0.5923,0.5731
alpha:0.86,0.7939,0.5641,0.5923,0.5731
alpha:0.87,0.7939,0.5641,0.5923,0.5731
alpha:0.88,0.7939,0.5641,0.5923,0.5731
alpha:0.89,0.7939,0.5641,0.5923,0.5731
alpha:0.9,0.7939,0.5651,0.5923,0.5734
alpha:0.91,0.7939,0.5651,0.5923,0.5734
alpha:0.92,0.7939,0.5651,0.5923,0.5734
alpha:0.93,0.7952,0.5661,0.5929,0.5743
alpha:0.94,0.7952,0.5661,0.5929,0.5743
alpha:0.95,0.7939,0.5635,0.5908,0.5723
alpha:0.96,0.7939,0.5635,0.5908,0.5723
alpha:0.97,0.7926,0.5609,0.5887,0.5702
alpha:0.98,0.7926,0.5609,0.5887,0.5702
alpha:0.99,0.7926,0.5609,0.5887,0.5702
alpha:1.0,0.7926,0.5609,0.5887,0.5702
