Combinacion,Accuracy,Precision,Recall,F_score
alpha:0.82,0.7048,0.3700,0.3783,0.3473
alpha:0.83,0.7048,0.3700,0.3783,0.3473
alpha:0.84,0.7048,0.3700,0.3783,0.3473
alpha:0.85,0.7048,0.3700,0.3783,0.3473
alpha:0.86,0.7048,0.3700,0.3783,0.3473
alpha:0.87,0.7048,0.3703,0.3783,0.3471
alpha:0.88,0.7048,0.3703,0.3783,0.3471
alpha:0.89,0.7048,0.3703,0.3783,0.3471
alpha:0.9,0.7048,0.3703,0.3783,0.3471
alpha:0.91,0.7048,0.3703,0.3783,0.3471
alpha:0.92,0.7048,0.3703,0.3783,0.3471
alpha:0.93,0.7048,0.3703,0.3783,0.3471
alpha:0.94,0.7048,0.3703,0.3783,0.3471
alpha:0.95,0.7061,0.3816,0.3836,0.3540
alpha:0.96,0.7061,0.3816,0.3836,0.3540
alpha:0.97,0.7061,0.3816,0.3836,0.3540
alpha:0.98,0.7061,0.3816,0.3836,0.3540
alpha:0.99,0.7061,0.3816,0.3836,0.3540
alpha:1.0,0.7061,0.3816,0.3836,0.3540
