Combinacion,Accuracy,Precision,Recall,F_score
alpha:0.6,0.8112,0.5974,0.6266,0.6011
alpha:0.61,0.8112,0.5974,0.6266,0.6011
alpha:0.62,0.8112,0.5974,0.6266,0.6011
alpha:0.63,0.8112,0.5974,0.6266,0.6011
alpha:0.64,0.8112,0.5974,0.6266,0.6011
alpha:0.65,0.8112,0.5974,0.6266,0.6011
alpha:0.66,0.8112,0.5974,0.6266,0.6011
alpha:0.67,0.8112,0.5974,0.6266,0.6011
alpha:0.68,0.8112,0.5974,0.6266,0.6011
alpha:0.69,0.8112,0.5974,0.6266,0.6011
alpha:0.7,0.8112,0.5974,0.6266,0.6011
alpha:0.71,0.8112,0.5974,0.6266,0.6011
alpha:0.72,0.8112,0.5951,0.6266,0.6006
alpha:0.73,0.8112,0.5951,0.6266,0.6006
alpha:0.74,0.8112,0.5951,0.6266,0.6006
alpha:0.75,0.8125,0.6047,0.6353,0.6102
alpha:0.76,0.8125,0.6047,0.6353,0.6102
alpha:0.77,0.8125,0.6047,0.6353,0.6102
alpha:0.78,0.8125,0.6047,0.6353,0.6102
alpha:0.79,0.8125,0.6047,0.6353,0.6102
alpha:0.8,0.8125,0.6047,0.6353,0.6102
alpha:0.81,0.8125,0.6047,0.6353,0.6102
alpha:0.82,0.8125,0.6047,0.6353,0.6102
alpha:0.83,0.8125,0.6047,0.6353,0.6102
alpha:0.84,0.8125,0.6047,0.6353,0.6102
alpha:0.85,0.8125,0.6047,0.6353,0.6102
alpha:0.86,0.8125,0.6047,0.6353,0.6102
alpha:0.87,0.8125,0.6047,0.6353,0.6102
alpha:0.88,0.8125,0.6047,0.6353,0.6102
alpha:0.89,0.8112,0.6010,0.6332,0.6079
alpha:0.9,0.8112,0.6010,0.6332,0.6079
alpha:0.91,0.8112,0.6010,0.6332,0.6079
alpha:0.92,0.8112,0.6010,0.6332,0.6079
alpha:0.93,0.8112,0.6010,0.6332,0.6079
alpha:0.94,0.8112,0.6010,0.6332,0.6079
alpha:0.95,0.8112,0.6010,0.6332,0.6079
alpha:0.96,0.8112,0.6010,0.6332,0.6079
alpha:0.97,0.8112,0.6010,0.6332,0.6079
alpha:0.98,0.8098,0.5981,0.6326,0.6064
alpha:0.99,0.8098,0.5981,0.6326,0.6064
alpha:1.0,0.8098,0.5981,0.6326,0.6064
alpha:1.01,0.8098,0.5981,0.6326,0.6064
alpha:1.02,0.8098,0.5981,0.6326,0.6064
alpha:1.03,0.8098,0.5981,0.6326,0.6064
alpha:1.04,0.8085,0.5954,0.6320,0.6049
alpha:1.05,0.8085,0.5954,0.6320,0.6049
alpha:1.06,0.8085,0.5954,0.6320,0.6049
alpha:1.07,0.8085,0.5954,0.6320,0.6049
alpha:1.08,0.8085,0.5954,0.6320,0.6049
alpha:1.09,0.8085,0.5954,0.6320,0.6049
alpha:1.1,0.8085,0.5954,0.6320,0.6049
alpha:1.11,0.8085,0.5954,0.6320,0.6049
alpha:1.12,0.8085,0.5954,0.6320,0.6049
alpha:1.13,0.8085,0.5954,0.6320,0.6049
alpha:1.14,0.8085,0.5937,0.6320,0.6044
alpha:1.15,0.8085,0.5937,0.6320,0.6044
alpha:1.16,0.8085,0.5937,0.6320,0.6044
alpha:1.17,0.8085,0.5937,0.6320,0.6044
alpha:1.18,0.8085,0.5937,0.6320,0.6044
alpha:1.19,0.8085,0.5937,0.6320,0.6044
alpha:1.2,0.8085,0.5937,0.6320,0.6044
alpha:1.21,0.8085,0.5937,0.6320,0.6044
alpha:1.22,0.8085,0.5937,0.6320,0.6044
alpha:1.23,0.8085,0.5937,0.6320,0.6044
alpha:1.24,0.8085,0.5937,0.6320,0.6044
alpha:1.25,0.8085,0.5937,0.6320,0.6044
alpha:1.26,0.8085,0.5937,0.6320,0.6044
alpha:1.27,0.8085,0.5937,0.6320,0.6044
alpha:1.28,0.8085,0.5937,0.6320,0.6044
alpha:1.29,0.8085,0.5937,0.6320,0.6044
alpha:1.3,0.8085,0.5937,0.6320,0.6044
alpha:1.31,0.8072,0.5925,0.6299,0.6030
alpha:1.32,0.8072,0.5925,0.6299,0.6030
alpha:1.33,0.8085,0.5934,0.6305,0.6040
alpha:1.34,0.8085,0.5934,0.6305,0.6040
alpha:1.35,0.8085,0.5934,0.6305,0.6040
alpha:1.36,0.8085,0.5934,0.6305,0.6040
alpha:1.37,0.8085,0.5934,0.6305,0.6040
alpha:1.38,0.8085,0.5934,0.6305,0.6040
alpha:1.39,0.8085,0.5934,0.6305,0.6040
alpha:1.4,0.8085,0.5934,0.6305,0.6040
alpha:1.41,0.8085,0.5934,0.6305,0.6040
alpha:1.42,0.8085,0.5934,0.6305,0.6040
alpha:1.43,0.8045,0.5866,0.6287,0.5999
alpha:1.44,0.8045,0.5866,0.6287,0.5999
alpha:1.45,0.8032,0.5853,0.6266,0.5985
alpha:1.46,0.8032,0.5853,0.6266,0.5985
alpha:1.47,0.8032,0.5856,0.6266,0.5988
alpha:1.48,0.8032,0.5856,0.6266,0.5988
alpha:1.49,0.8032,0.5856,0.6266,0.5988
alpha:1.5,0.8019,0.5830,0.6245,0.5967
alpha:1.51,0.8019,0.5830,0.6245,0.5967
alpha:1.52,0.8019,0.5830,0.6245,0.5967
alpha:1.53,0.8019,0.5830,0.6245,0.5967
alpha:1.54,0.8019,0.5830,0.6245,0.5967
alpha:1.55,0.8019,0.5830,0.6245,0.5967
alpha:1.56,0.8005,0.5818,0.6223,0.5952
alpha:1.57,0.8005,0.5808,0.6223,0.5949
alpha:1.58,0.8005,0.5808,0.6223,0.5949
alpha:1.59,0.8005,0.5808,0.6223,0.5949
alpha:1.6,0.8005,0.5808,0.6223,0.5949
alpha:1.61,0.8005,0.5808,0.6223,0.5949
alpha:1.62,0.8005,0.5808,0.6223,0.5949
alpha:1.63,0.8005,0.5808,0.6223,0.5949
alpha:1.64,0.8005,0.5808,0.6223,0.5949
alpha:1.65,0.8005,0.5808,0.6223,0.5949
alpha:1.66,0.8005,0.5808,0.6223,0.5949
alpha:1.67,0.8005,0.5808,0.6223,0.5949
alpha:1.68,0.8005,0.5808,0.6223,0.5949
alpha:1.69,0.8005,0.5808,0.6223,0.5949
alpha:1.7,0.8005,0.5808,0.6223,0.5949
alpha:1.71,0.8019,0.5827,0.6229,0.5962
alpha:1.72,0.8005,0.5808,0.6223,0.5949
alpha:1.73,0.8005,0.5808,0.6223,0.5949
alpha:1.74,0.8005,0.5808,0.6223,0.5949
alpha:1.75,0.8005,0.5808,0.6223,0.5949
alpha:1.76,0.8005,0.5808,0.6223,0.5949
alpha:1.77,0.8005,0.5808,0.6223,0.5949
alpha:1.78,0.8005,0.5808,0.6223,0.5949
alpha:1.79,0.8005,0.5808,0.6223,0.5949
alpha:1.8,0.8005,0.5808,0.6223,0.5949
alpha:1.81,0.8005,0.5808,0.6223,0.5949
alpha:1.82,0.8005,0.5808,0.6223,0.5949
alpha:1.83,0.8005,0.5808,0.6223,0.5949
alpha:1.84,0.8005,0.5808,0.6223,0.5949
alpha:1.85,0.8005,0.5808,0.6223,0.5949
alpha:1.86,0.7992,0.5790,0.6217,0.5937
alpha:1.87,0.8005,0.5808,0.6223,0.5949
alpha:1.88,0.8005,0.5808,0.6223,0.5949
alpha:1.89,0.8005,0.5808,0.6223,0.5949
alpha:1.9,0.8005,0.5808,0.6223,0.5949
alpha:1.91,0.8005,0.5808,0.6223,0.5949
alpha:1.92,0.8005,0.5808,0.6223,0.5949
alpha:1.93,0.8005,0.5808,0.6223,0.5949
alpha:1.94,0.8005,0.5808,0.6223,0.5949
alpha:1.95,0.8019,0.5833,0.6245,0.5970
alpha:1.96,0.8019,0.5833,0.6245,0.5970
alpha:1.97,0.8019,0.5833,0.6245,0.5970
alpha:1.98,0.8019,0.5833,0.6245,0.5970
alpha:1.99,0.8019,0.5833,0.6245,0.5970
alpha:2.0,0.8019,0.5833,0.6245,0.5970
