Combinacion,Accuracy,Precision,Recall,F_score
alpha:0.86,0.8085,0.5852,0.6111,0.5905
alpha:0.87,0.8085,0.5852,0.6111,0.5905
alpha:0.88,0.8085,0.5852,0.6111,0.5905
alpha:0.89,0.8085,0.5852,0.6111,0.5905
alpha:0.9,0.8085,0.5852,0.6111,0.5905
alpha:0.91,0.8085,0.5852,0.6111,0.5905
alpha:0.92,0.8085,0.5852,0.6111,0.5905
alpha:0.93,0.8085,0.5852,0.6111,0.5905
alpha:0.94,0.8085,0.5852,0.6111,0.5905
alpha:0.95,0.8085,0.5852,0.6111,0.5905
alpha:0.96,0.8085,0.5852,0.6111,0.5905
alpha:0.97,0.8085,0.5852,0.6111,0.5905
alpha:0.98,0.8085,0.5852,0.6111,0.5905
alpha:0.99,0.8085,0.5852,0.6111,0.5905
alpha:1.0,0.8085,0.5852,0.6111,0.5905
alpha:1.01,0.8085,0.5852,0.6111,0.5905
alpha:1.02,0.8085,0.5852,0.6111,0.5905
alpha:1.03,0.8085,0.5852,0.6111,0.5905
alpha:1.04,0.8085,0.5852,0.6111,0.5905
alpha:1.05,0.8059,0.5800,0.6099,0.5880
alpha:1.06,0.8072,0.5825,0.6105,0.5892
alpha:1.07,0.8072,0.5825,0.6105,0.5892
alpha:1.08,0.8072,0.5825,0.6105,0.5892
alpha:1.09,0.8072,0.5825,0.6105,0.5892
alpha:1.1,0.8072,0.5825,0.6105,0.5892
alpha:1.11,0.8072,0.5825,0.6105,0.5892
alpha:1.12,0.8072,0.5825,0.6105,0.5892
alpha:1.13,0.8072,0.5825,0.6105,0.5892
alpha:1.14,0.8072,0.5825,0.6105,0.5892
alpha:1.15,0.8072,0.5825,0.6105,0.5892
alpha:1.16,0.8072,0.5825,0.6105,0.5892
alpha:1.17,0.8072,0.5825,0.6105,0.5892
alpha:1.18,0.8072,0.5825,0.6105,0.5892
alpha:1.19,0.8072,0.5825,0.6105,0.5892
alpha:1.2,0.8072,0.5825,0.6105,0.5892
alpha:1.21,0.8085,0.5835,0.6111,0.5902
alpha:1.22,0.8085,0.5835,0.6111,0.5902
alpha:1.23,0.8085,0.5835,0.6111,0.5902
alpha:1.24,0.8085,0.5835,0.6111,0.5902
alpha:1.25,0.8085,0.5835,0.6111,0.5902
alpha:1.26,0.8085,0.5835,0.6111,0.5902
alpha:1.27,0.8085,0.5835,0.6111,0.5902
alpha:1.28,0.8085,0.5835,0.6111,0.5902
alpha:1.29,0.8085,0.5835,0.6111,0.5902
alpha:1.3,0.8085,0.5835,0.6111,0.5902
alpha:1.31,0.8059,0.5786,0.6099,0.5877
alpha:1.32,0.8059,0.5786,0.6099,0.5877
alpha:1.33,0.8059,0.5786,0.6099,0.5877
alpha:1.34,0.8059,0.5786,0.6099,0.5877
alpha:1.35,0.8059,0.5786,0.6099,0.5877
alpha:1.36,0.8045,0.5759,0.6078,0.5857
alpha:1.37,0.8045,0.5759,0.6078,0.5857
alpha:1.38,0.8045,0.5759,0.6078,0.5857
alpha:1.39,0.8045,0.5759,0.6078,0.5857
alpha:1.4,0.8032,0.5747,0.6057,0.5842
alpha:1.41,0.8032,0.5747,0.6057,0.5842
alpha:1.42,0.8032,0.5747,0.6057,0.5842
alpha:1.43,0.8032,0.5747,0.6057,0.5842
alpha:1.44,0.8045,0.5757,0.6063,0.5852
alpha:1.45,0.8045,0.5757,0.6063,0.5852
alpha:1.46,0.8045,0.5757,0.6063,0.5852
alpha:1.47,0.8032,0.5661,0.5975,0.5760
alpha:1.48,0.8032,0.5661,0.5975,0.5760
alpha:1.49,0.8032,0.5661,0.5975,0.5760
alpha:1.5,0.8032,0.5661,0.5975,0.5760
alpha:1.51,0.8032,0.5661,0.5975,0.5760
alpha:1.52,0.8032,0.5661,0.5975,0.5760
alpha:1.53,0.8032,0.5661,0.5975,0.5760
alpha:1.54,0.8032,0.5661,0.5975,0.5760
alpha:1.55,0.8032,0.5661,0.5975,0.5760
alpha:1.56,0.8032,0.5661,0.5975,0.5760
alpha:1.57,0.8032,0.5661,0.5975,0.5760
alpha:1.58,0.8032,0.5661,0.5975,0.5760
alpha:1.59,0.8019,0.5649,0.5954,0.5745
alpha:1.6,0.8019,0.5649,0.5954,0.5745
alpha:1.61,0.8019,0.5649,0.5954,0.5745
alpha:1.62,0.8019,0.5649,0.5954,0.5745
alpha:1.63,0.8019,0.5649,0.5954,0.5745
alpha:1.64,0.8019,0.5649,0.5954,0.5745
alpha:1.65,0.8019,0.5649,0.5954,0.5745
alpha:1.66,0.8019,0.5649,0.5954,0.5745
alpha:1.67,0.8019,0.5649,0.5954,0.5745
alpha:1.68,0.8019,0.5649,0.5954,0.5745
alpha:1.69,0.8019,0.5649,0.5954,0.5745
alpha:1.7,0.8019,0.5649,0.5954,0.5745
alpha:1.71,0.8019,0.5649,0.5954,0.5745
alpha:1.72,0.8019,0.5649,0.5954,0.5745
alpha:1.73,0.8019,0.5649,0.5954,0.5745
alpha:1.74,0.8019,0.5649,0.5954,0.5745
alpha:1.75,0.8019,0.5649,0.5954,0.5745
alpha:1.76,0.8019,0.5649,0.5954,0.5745
alpha:1.77,0.8019,0.5649,0.5954,0.5745
alpha:1.78,0.8019,0.5649,0.5954,0.5745
alpha:1.79,0.8019,0.5649,0.5954,0.5745
alpha:1.8,0.8019,0.5649,0.5954,0.5745
alpha:1.81,0.8019,0.5649,0.5954,0.5745
alpha:1.82,0.8019,0.5649,0.5954,0.5745
alpha:1.83,0.8019,0.5649,0.5954,0.5745
alpha:1.84,0.8019,0.5649,0.5954,0.5745
alpha:1.85,0.8019,0.5649,0.5954,0.5745
alpha:1.86,0.8019,0.5649,0.5954,0.5745
alpha:1.87,0.8019,0.5649,0.5954,0.5745
alpha:1.88,0.8019,0.5649,0.5954,0.5745
alpha:1.89,0.8019,0.5649,0.5954,0.5745
alpha:1.9,0.8019,0.5649,0.5954,0.5745
alpha:1.91,0.8019,0.5649,0.5954,0.5745
alpha:1.92,0.8019,0.5649,0.5954,0.5745
alpha:1.93,0.8005,0.5631,0.5948,0.5735
alpha:1.94,0.8019,0.5641,0.5954,0.5745
alpha:1.95,0.8019,0.5641,0.5954,0.5745
alpha:1.96,0.8019,0.5641,0.5954,0.5745
alpha:1.97,0.8019,0.5641,0.5954,0.5745
alpha:1.98,0.8019,0.5641,0.5954,0.5745
alpha:1.99,0.8019,0.5641,0.5954,0.5745
alpha:2.0,0.8019,0.5641,0.5954,0.5745
alpha:2.01,0.8019,0.5641,0.5954,0.5745
alpha:2.02,0.8019,0.5641,0.5954,0.5745
alpha:2.03,0.8019,0.5641,0.5954,0.5745
alpha:2.04,0.8019,0.5641,0.5954,0.5745
alpha:2.05,0.8005,0.5624,0.5948,0.5734
alpha:2.06,0.8005,0.5624,0.5948,0.5734
alpha:2.07,0.8005,0.5624,0.5948,0.5734
alpha:2.08,0.8005,0.5624,0.5948,0.5734
alpha:2.09,0.8019,0.5625,0.5954,0.5740
alpha:2.1,0.8019,0.5625,0.5954,0.5740
alpha:2.11,0.8019,0.5625,0.5954,0.5740
alpha:2.12,0.8019,0.5625,0.5954,0.5740
alpha:2.13,0.8019,0.5625,0.5954,0.5740
alpha:2.14,0.8019,0.5625,0.5954,0.5740
alpha:2.15,0.8019,0.5625,0.5954,0.5740
alpha:2.16,0.8019,0.5625,0.5954,0.5740
alpha:2.17,0.8019,0.5625,0.5954,0.5740
alpha:2.18,0.8019,0.5625,0.5954,0.5740
alpha:2.19,0.8019,0.5625,0.5954,0.5740
alpha:2.2,0.8019,0.5625,0.5954,0.5740
alpha:2.21,0.8019,0.5625,0.5954,0.5740
alpha:2.22,0.8019,0.5625,0.5954,0.5740
alpha:2.23,0.8019,0.5625,0.5954,0.5740
alpha:2.24,0.8019,0.5625,0.5954,0.5740
alpha:2.25,0.8019,0.5625,0.5954,0.5740
alpha:2.26,0.8019,0.5625,0.5954,0.5740
alpha:2.27,0.8019,0.5625,0.5954,0.5740
alpha:2.28,0.8019,0.5625,0.5954,0.5740
alpha:2.29,0.8019,0.5625,0.5954,0.5740
alpha:2.3,0.8019,0.5625,0.5954,0.5740
alpha:2.31,0.8019,0.5625,0.5954,0.5740
alpha:2.32,0.8019,0.5634,0.5954,0.5744
alpha:2.33,0.8019,0.5634,0.5954,0.5744
alpha:2.34,0.8019,0.5634,0.5954,0.5744
alpha:2.35,0.8019,0.5634,0.5954,0.5744
alpha:2.36,0.8019,0.5634,0.5954,0.5744
alpha:2.37,0.8019,0.5634,0.5954,0.5744
alpha:2.38,0.8019,0.5634,0.5954,0.5744
alpha:2.39,0.8019,0.5634,0.5954,0.5744
alpha:2.4,0.8019,0.5634,0.5954,0.5744
alpha:2.41,0.8019,0.5634,0.5954,0.5744
alpha:2.42,0.8019,0.5634,0.5954,0.5744
alpha:2.43,0.8019,0.5634,0.5954,0.5744
alpha:2.44,0.8019,0.5634,0.5954,0.5744
alpha:2.45,0.8019,0.5634,0.5954,0.5744
alpha:2.46,0.8019,0.5634,0.5954,0.5744
alpha:2.47,0.8019,0.5634,0.5954,0.5744
alpha:2.48,0.8019,0.5634,0.5954,0.5744
alpha:2.49,0.8019,0.5634,0.5954,0.5744
alpha:2.5,0.8019,0.5634,0.5954,0.5744
alpha:2.51,0.8019,0.5634,0.5954,0.5744
alpha:2.52,0.8019,0.5634,0.5954,0.5744
alpha:2.53,0.8019,0.5634,0.5954,0.5744
alpha:2.54,0.8019,0.5634,0.5954,0.5744
alpha:2.55,0.8019,0.5634,0.5954,0.5744
alpha:2.56,0.8019,0.5634,0.5954,0.5744
alpha:2.57,0.8019,0.5634,0.5954,0.5744
alpha:2.58,0.8019,0.5634,0.5954,0.5744
alpha:2.59,0.8019,0.5634,0.5954,0.5744
alpha:2.6,0.8019,0.5634,0.5954,0.5744
alpha:2.61,0.8019,0.5634,0.5954,0.5744
alpha:2.62,0.8019,0.5634,0.5954,0.5744
alpha:2.63,0.8032,0.5645,0.5960,0.5754
alpha:2.64,0.8032,0.5645,0.5960,0.5754
alpha:2.65,0.8032,0.5645,0.5960,0.5754
alpha:2.66,0.8032,0.5645,0.5960,0.5754
alpha:2.67,0.8032,0.5645,0.5960,0.5754
alpha:2.68,0.8032,0.5645,0.5960,0.5754
alpha:2.69,0.8032,0.5645,0.5960,0.5754
alpha:2.7,0.8032,0.5645,0.5960,0.5754
alpha:2.71,0.8032,0.5645,0.5960,0.5754
alpha:2.72,0.8045,0.5662,0.5966,0.5764
alpha:2.73,0.8045,0.5662,0.5966,0.5764
alpha:2.74,0.8045,0.5662,0.5966,0.5764
alpha:2.75,0.8045,0.5662,0.5966,0.5764
alpha:2.76,0.8045,0.5662,0.5966,0.5764
alpha:2.77,0.8045,0.5662,0.5966,0.5764
alpha:2.78,0.8045,0.5662,0.5966,0.5764
alpha:2.79,0.8045,0.5662,0.5966,0.5764
alpha:2.8,0.8045,0.5662,0.5966,0.5764
alpha:2.81,0.8045,0.5662,0.5966,0.5764
alpha:2.82,0.8045,0.5662,0.5966,0.5764
alpha:2.83,0.8045,0.5662,0.5966,0.5764
alpha:2.84,0.8059,0.5687,0.5987,0.5784
alpha:2.85,0.8059,0.5687,0.5987,0.5784
alpha:2.86,0.8059,0.5687,0.5987,0.5784
alpha:2.87,0.8059,0.5687,0.5987,0.5784
alpha:2.88,0.8059,0.5687,0.5987,0.5784
alpha:2.89,0.8059,0.5687,0.5987,0.5784
alpha:2.9,0.8059,0.5687,0.5987,0.5784
alpha:2.91,0.8059,0.5687,0.5987,0.5784
alpha:2.92,0.8045,0.5668,0.5981,0.5773
alpha:2.93,0.8045,0.5668,0.5981,0.5773
alpha:2.94,0.8059,0.5679,0.5987,0.5783
alpha:2.95,0.8059,0.5679,0.5987,0.5783
alpha:2.96,0.8059,0.5679,0.5987,0.5783
alpha:2.97,0.8059,0.5679,0.5987,0.5783
alpha:2.98,0.8059,0.5679,0.5987,0.5783
alpha:2.99,0.8059,0.5679,0.5987,0.5783
alpha:3.0,0.8059,0.5679,0.5987,0.5783
